day;dteday;season;yr;mnth;holiday;weekday;workingday;casual;registered;cnt
1;01/01/2011;1;0;1;0;6;0;331;654;985
2;02/01/2011;1;0;1;0;0;0;131;670;801
3;03/01/2011;1;0;1;0;1;1;120;1229;1349
4;04/01/2011;1;0;1;0;2;1;108;1454;1562
5;05/01/2011;1;0;1;0;3;1;82;1518;1600
6;06/01/2011;1;0;1;0;4;1;88;1518;1606
7;07/01/2011;1;0;1;0;5;1;148;1362;1510
8;08/01/2011;1;0;1;0;6;0;68;891;959
9;09/01/2011;1;0;1;0;0;0;54;768;822
10;10/01/2011;1;0;1;0;1;1;41;1280;1321
11;11/01/2011;1;0;1;0;2;1;43;1220;1263
12;12/01/2011;1;0;1;0;3;1;25;1137;1162
13;13/01/2011;1;0;1;0;4;1;38;1368;1406
14;14/01/2011;1;0;1;0;5;1;54;1367;1421
15;15/01/2011;1;0;1;0;6;0;222;1026;1248
16;16/01/2011;1;0;1;0;0;0;251;953;1204
17;17/01/2011;1;0;1;1;1;0;117;883;1000
18;18/01/2011;1;0;1;0;2;1;9;674;683
19;19/01/2011;1;0;1;0;3;1;78;1572;1650
20;20/01/2011;1;0;1;0;4;1;83;1844;1927
21;21/01/2011;1;0;1;0;5;1;75;1468;1543
22;22/01/2011;1;0;1;0;6;0;93;888;981
23;23/01/2011;1;0;1;0;0;0;150;836;986
24;24/01/2011;1;0;1;0;1;1;86;1330;1416
25;25/01/2011;1;0;1;0;2;1;186;1799;1985
26;26/01/2011;1;0;1;0;3;1;34;472;506
27;27/01/2011;1;0;1;0;4;1;15;416;431
28;28/01/2011;1;0;1;0;5;1;38;1129;1167
29;29/01/2011;1;0;1;0;6;0;123;975;1098
30;30/01/2011;1;0;1;0;0;0;140;956;1096
31;31/01/2011;1;0;1;0;1;1;42;1459;1501
32;01/02/2011;1;0;2;0;2;1;47;1313;1360
33;02/02/2011;1;0;2;0;3;1;72;1454;1526
34;03/02/2011;1;0;2;0;4;1;61;1489;1550
35;04/02/2011;1;0;2;0;5;1;88;1620;1708
36;05/02/2011;1;0;2;0;6;0;100;905;1005
37;06/02/2011;1;0;2;0;0;0;354;1269;1623
38;07/02/2011;1;0;2;0;1;1;120;1592;1712
39;08/02/2011;1;0;2;0;2;1;64;1466;1530
40;09/02/2011;1;0;2;0;3;1;53;1552;1605
41;10/02/2011;1;0;2;0;4;1;47;1491;1538
42;11/02/2011;1;0;2;0;5;1;149;1597;1746
43;12/02/2011;1;0;2;0;6;0;288;1184;1472
44;13/02/2011;1;0;2;0;0;0;397;1192;1589
45;14/02/2011;1;0;2;0;1;1;208;1705;1913
46;15/02/2011;1;0;2;0;2;1;140;1675;1815
47;16/02/2011;1;0;2;0;3;1;218;1897;2115
48;17/02/2011;1;0;2;0;4;1;259;2216;2475
49;18/02/2011;1;0;2;0;5;1;579;2348;2927
50;19/02/2011;1;0;2;0;6;0;532;1103;1635
51;20/02/2011;1;0;2;0;0;0;639;1173;1812
52;21/02/2011;1;0;2;1;1;0;195;912;1107
53;22/02/2011;1;0;2;0;2;1;74;1376;1450
54;23/02/2011;1;0;2;0;3;1;139;1778;1917
55;24/02/2011;1;0;2;0;4;1;100;1707;1807
56;25/02/2011;1;0;2;0;5;1;120;1341;1461
57;26/02/2011;1;0;2;0;6;0;424;1545;1969
58;27/02/2011;1;0;2;0;0;0;694;1708;2402
59;28/02/2011;1;0;2;0;1;1;81;1365;1446
60;01/03/2011;1;0;3;0;2;1;137;1714;1851
61;02/03/2011;1;0;3;0;3;1;231;1903;2134
62;03/03/2011;1;0;3;0;4;1;123;1562;1685
63;04/03/2011;1;0;3;0;5;1;214;1730;1944
64;05/03/2011;1;0;3;0;6;0;640;1437;2077
65;06/03/2011;1;0;3;0;0;0;114;491;605
66;07/03/2011;1;0;3;0;1;1;244;1628;1872
67;08/03/2011;1;0;3;0;2;1;316;1817;2133
68;09/03/2011;1;0;3;0;3;1;191;1700;1891
69;10/03/2011;1;0;3;0;4;1;46;577;623
70;11/03/2011;1;0;3;0;5;1;247;1730;1977
71;12/03/2011;1;0;3;0;6;0;724;1408;2132
72;13/03/2011;1;0;3;0;0;0;982;1435;2417
73;14/03/2011;1;0;3;0;1;1;359;1687;2046
74;15/03/2011;1;0;3;0;2;1;289;1767;2056
75;16/03/2011;1;0;3;0;3;1;321;1871;2192
76;17/03/2011;1;0;3;0;4;1;424;2320;2744
77;18/03/2011;1;0;3;0;5;1;884;2355;3239
78;19/03/2011;1;0;3;0;6;0;1424;1693;3117
79;20/03/2011;1;0;3;0;0;0;1047;1424;2471
80;21/03/2011;2;0;3;0;1;1;401;1676;2077
81;22/03/2011;2;0;3;0;2;1;460;2243;2703
82;23/03/2011;2;0;3;0;3;1;203;1918;2121
83;24/03/2011;2;0;3;0;4;1;166;1699;1865
84;25/03/2011;2;0;3;0;5;1;300;1910;2210
85;26/03/2011;2;0;3;0;6;0;981;1515;2496
86;27/03/2011;2;0;3;0;0;0;472;1221;1693
87;28/03/2011;2;0;3;0;1;1;222;1806;2028
88;29/03/2011;2;0;3;0;2;1;317;2108;2425
89;30/03/2011;2;0;3;0;3;1;168;1368;1536
90;31/03/2011;2;0;3;0;4;1;179;1506;1685
91;01/04/2011;2;0;4;0;5;1;307;1920;2227
92;02/04/2011;2;0;4;0;6;0;898;1354;2252
93;03/04/2011;2;0;4;0;0;0;1651;1598;3249
94;04/04/2011;2;0;4;0;1;1;734;2381;3115
95;05/04/2011;2;0;4;0;2;1;167;1628;1795
96;06/04/2011;2;0;4;0;3;1;413;2395;2808
97;07/04/2011;2;0;4;0;4;1;571;2570;3141
98;08/04/2011;2;0;4;0;5;1;172;1299;1471
99;09/04/2011;2;0;4;0;6;0;879;1576;2455
100;10/04/2011;2;0;4;0;0;0;1188;1707;2895
101;11/04/2011;2;0;4;0;1;1;855;2493;3348
102;12/04/2011;2;0;4;0;2;1;257;1777;2034
103;13/04/2011;2;0;4;0;3;1;209;1953;2162
104;14/04/2011;2;0;4;0;4;1;529;2738;3267
105;15/04/2011;2;0;4;1;5;0;642;2484;3126
106;16/04/2011;2;0;4;0;6;0;121;674;795
107;17/04/2011;2;0;4;0;0;0;1558;2186;3744
108;18/04/2011;2;0;4;0;1;1;669;2760;3429
109;19/04/2011;2;0;4;0;2;1;409;2795;3204
110;20/04/2011;2;0;4;0;3;1;613;3331;3944
111;21/04/2011;2;0;4;0;4;1;745;3444;4189
112;22/04/2011;2;0;4;0;5;1;177;1506;1683
113;23/04/2011;2;0;4;0;6;0;1462;2574;4036
114;24/04/2011;2;0;4;0;0;0;1710;2481;4191
115;25/04/2011;2;0;4;0;1;1;773;3300;4073
116;26/04/2011;2;0;4;0;2;1;678;3722;4400
117;27/04/2011;2;0;4;0;3;1;547;3325;3872
118;28/04/2011;2;0;4;0;4;1;569;3489;4058
119;29/04/2011;2;0;4;0;5;1;878;3717;4595
120;30/04/2011;2;0;4;0;6;0;1965;3347;5312
121;01/05/2011;2;0;5;0;0;0;1138;2213;3351
122;02/05/2011;2;0;5;0;1;1;847;3554;4401
123;03/05/2011;2;0;5;0;2;1;603;3848;4451
124;04/05/2011;2;0;5;0;3;1;255;2378;2633
125;05/05/2011;2;0;5;0;4;1;614;3819;4433
126;06/05/2011;2;0;5;0;5;1;894;3714;4608
127;07/05/2011;2;0;5;0;6;0;1612;3102;4714
128;08/05/2011;2;0;5;0;0;0;1401;2932;4333
129;09/05/2011;2;0;5;0;1;1;664;3698;4362
130;10/05/2011;2;0;5;0;2;1;694;4109;4803
131;11/05/2011;2;0;5;0;3;1;550;3632;4182
132;12/05/2011;2;0;5;0;4;1;695;4169;4864
133;13/05/2011;2;0;5;0;5;1;692;3413;4105
134;14/05/2011;2;0;5;0;6;0;902;2507;3409
135;15/05/2011;2;0;5;0;0;0;1582;2971;4553
136;16/05/2011;2;0;5;0;1;1;773;3185;3958
137;17/05/2011;2;0;5;0;2;1;678;3445;4123
138;18/05/2011;2;0;5;0;3;1;536;3319;3855
139;19/05/2011;2;0;5;0;4;1;735;3840;4575
140;20/05/2011;2;0;5;0;5;1;909;4008;4917
141;21/05/2011;2;0;5;0;6;0;2258;3547;5805
142;22/05/2011;2;0;5;0;0;0;1576;3084;4660
143;23/05/2011;2;0;5;0;1;1;836;3438;4274
144;24/05/2011;2;0;5;0;2;1;659;3833;4492
145;25/05/2011;2;0;5;0;3;1;740;4238;4978
146;26/05/2011;2;0;5;0;4;1;758;3919;4677
147;27/05/2011;2;0;5;0;5;1;871;3808;4679
148;28/05/2011;2;0;5;0;6;0;2001;2757;4758
149;29/05/2011;2;0;5;0;0;0;2355;2433;4788
150;30/05/2011;2;0;5;1;1;0;1549;2549;4098
151;31/05/2011;2;0;5;0;2;1;673;3309;3982
152;01/06/2011;2;0;6;0;3;1;513;3461;3974
153;02/06/2011;2;0;6;0;4;1;736;4232;4968
154;03/06/2011;2;0;6;0;5;1;898;4414;5312
155;04/06/2011;2;0;6;0;6;0;1869;3473;5342
156;05/06/2011;2;0;6;0;0;0;1685;3221;4906
157;06/06/2011;2;0;6;0;1;1;673;3875;4548
158;07/06/2011;2;0;6;0;2;1;763;4070;4833
159;08/06/2011;2;0;6;0;3;1;676;3725;4401
160;09/06/2011;2;0;6;0;4;1;563;3352;3915
161;10/06/2011;2;0;6;0;5;1;815;3771;4586
162;11/06/2011;2;0;6;0;6;0;1729;3237;4966
163;12/06/2011;2;0;6;0;0;0;1467;2993;4460
164;13/06/2011;2;0;6;0;1;1;863;4157;5020
165;14/06/2011;2;0;6;0;2;1;727;4164;4891
166;15/06/2011;2;0;6;0;3;1;769;4411;5180
167;16/06/2011;2;0;6;0;4;1;545;3222;3767
168;17/06/2011;2;0;6;0;5;1;863;3981;4844
169;18/06/2011;2;0;6;0;6;0;1807;3312;5119
170;19/06/2011;2;0;6;0;0;0;1639;3105;4744
171;20/06/2011;2;0;6;0;1;1;699;3311;4010
172;21/06/2011;3;0;6;0;2;1;774;4061;4835
173;22/06/2011;3;0;6;0;3;1;661;3846;4507
174;23/06/2011;3;0;6;0;4;1;746;4044;4790
175;24/06/2011;3;0;6;0;5;1;969;4022;4991
176;25/06/2011;3;0;6;0;6;0;1782;3420;5202
177;26/06/2011;3;0;6;0;0;0;1920;3385;5305
178;27/06/2011;3;0;6;0;1;1;854;3854;4708
179;28/06/2011;3;0;6;0;2;1;732;3916;4648
180;29/06/2011;3;0;6;0;3;1;848;4377;5225
181;30/06/2011;3;0;6;0;4;1;1027;4488;5515
182;01/07/2011;3;0;7;0;5;1;1246;4116;5362
183;02/07/2011;3;0;7;0;6;0;2204;2915;5119
184;03/07/2011;3;0;7;0;0;0;2282;2367;4649
185;04/07/2011;3;0;7;1;1;0;3065;2978;6043
186;05/07/2011;3;0;7;0;2;1;1031;3634;4665
187;06/07/2011;3;0;7;0;3;1;784;3845;4629
188;07/07/2011;3;0;7;0;4;1;754;3838;4592
189;08/07/2011;3;0;7;0;5;1;692;3348;4040
190;09/07/2011;3;0;7;0;6;0;1988;3348;5336
191;10/07/2011;3;0;7;0;0;0;1743;3138;4881
192;11/07/2011;3;0;7;0;1;1;723;3363;4086
193;12/07/2011;3;0;7;0;2;1;662;3596;4258
194;13/07/2011;3;0;7;0;3;1;748;3594;4342
195;14/07/2011;3;0;7;0;4;1;888;4196;5084
196;15/07/2011;3;0;7;0;5;1;1318;4220;5538
197;16/07/2011;3;0;7;0;6;0;2418;3505;5923
198;17/07/2011;3;0;7;0;0;0;2006;3296;5302
199;18/07/2011;3;0;7;0;1;1;841;3617;4458
200;19/07/2011;3;0;7;0;2;1;752;3789;4541
201;20/07/2011;3;0;7;0;3;1;644;3688;4332
202;21/07/2011;3;0;7;0;4;1;632;3152;3784
203;22/07/2011;3;0;7;0;5;1;562;2825;3387
204;23/07/2011;3;0;7;0;6;0;987;2298;3285
205;24/07/2011;3;0;7;0;0;0;1050;2556;3606
206;25/07/2011;3;0;7;0;1;1;568;3272;3840
207;26/07/2011;3;0;7;0;2;1;750;3840;4590
208;27/07/2011;3;0;7;0;3;1;755;3901;4656
209;28/07/2011;3;0;7;0;4;1;606;3784;4390
210;29/07/2011;3;0;7;0;5;1;670;3176;3846
211;30/07/2011;3;0;7;0;6;0;1559;2916;4475
212;31/07/2011;3;0;7;0;0;0;1524;2778;4302
213;01/08/2011;3;0;8;0;1;1;729;3537;4266
214;02/08/2011;3;0;8;0;2;1;801;4044;4845
215;03/08/2011;3;0;8;0;3;1;467;3107;3574
216;04/08/2011;3;0;8;0;4;1;799;3777;4576
217;05/08/2011;3;0;8;0;5;1;1023;3843;4866
218;06/08/2011;3;0;8;0;6;0;1521;2773;4294
219;07/08/2011;3;0;8;0;0;0;1298;2487;3785
220;08/08/2011;3;0;8;0;1;1;846;3480;4326
221;09/08/2011;3;0;8;0;2;1;907;3695;4602
222;10/08/2011;3;0;8;0;3;1;884;3896;4780
223;11/08/2011;3;0;8;0;4;1;812;3980;4792
224;12/08/2011;3;0;8;0;5;1;1051;3854;4905
225;13/08/2011;3;0;8;0;6;0;1504;2646;4150
226;14/08/2011;3;0;8;0;0;0;1338;2482;3820
227;15/08/2011;3;0;8;0;1;1;775;3563;4338
228;16/08/2011;3;0;8;0;2;1;721;4004;4725
229;17/08/2011;3;0;8;0;3;1;668;4026;4694
230;18/08/2011;3;0;8;0;4;1;639;3166;3805
231;19/08/2011;3;0;8;0;5;1;797;3356;4153
232;20/08/2011;3;0;8;0;6;0;1914;3277;5191
233;21/08/2011;3;0;8;0;0;0;1249;2624;3873
234;22/08/2011;3;0;8;0;1;1;833;3925;4758
235;23/08/2011;3;0;8;0;2;1;1281;4614;5895
236;24/08/2011;3;0;8;0;3;1;949;4181;5130
237;25/08/2011;3;0;8;0;4;1;435;3107;3542
238;26/08/2011;3;0;8;0;5;1;768;3893;4661
239;27/08/2011;3;0;8;0;6;0;226;889;1115
240;28/08/2011;3;0;8;0;0;0;1415;2919;4334
241;29/08/2011;3;0;8;0;1;1;729;3905;4634
242;30/08/2011;3;0;8;0;2;1;775;4429;5204
243;31/08/2011;3;0;8;0;3;1;688;4370;5058
244;01/09/2011;3;0;9;0;4;1;783;4332;5115
245;02/09/2011;3;0;9;0;5;1;875;3852;4727
246;03/09/2011;3;0;9;0;6;0;1935;2549;4484
247;04/09/2011;3;0;9;0;0;0;2521;2419;4940
248;05/09/2011;3;0;9;1;1;0;1236;2115;3351
249;06/09/2011;3;0;9;0;2;1;204;2506;2710
250;07/09/2011;3;0;9;0;3;1;118;1878;1996
251;08/09/2011;3;0;9;0;4;1;153;1689;1842
252;09/09/2011;3;0;9;0;5;1;417;3127;3544
253;10/09/2011;3;0;9;0;6;0;1750;3595;5345
254;11/09/2011;3;0;9;0;0;0;1633;3413;5046
255;12/09/2011;3;0;9;0;1;1;690;4023;4713
256;13/09/2011;3;0;9;0;2;1;701;4062;4763
257;14/09/2011;3;0;9;0;3;1;647;4138;4785
258;15/09/2011;3;0;9;0;4;1;428;3231;3659
259;16/09/2011;3;0;9;0;5;1;742;4018;4760
260;17/09/2011;3;0;9;0;6;0;1434;3077;4511
261;18/09/2011;3;0;9;0;0;0;1353;2921;4274
262;19/09/2011;3;0;9;0;1;1;691;3848;4539
263;20/09/2011;3;0;9;0;2;1;438;3203;3641
264;21/09/2011;3;0;9;0;3;1;539;3813;4352
265;22/09/2011;3;0;9;0;4;1;555;4240;4795
266;23/09/2011;4;0;9;0;5;1;258;2137;2395
267;24/09/2011;4;0;9;0;6;0;1776;3647;5423
268;25/09/2011;4;0;9;0;0;0;1544;3466;5010
269;26/09/2011;4;0;9;0;1;1;684;3946;4630
270;27/09/2011;4;0;9;0;2;1;477;3643;4120
271;28/09/2011;4;0;9;0;3;1;480;3427;3907
272;29/09/2011;4;0;9;0;4;1;653;4186;4839
273;30/09/2011;4;0;9;0;5;1;830;4372;5202
274;01/10/2011;4;0;10;0;6;0;480;1949;2429
275;02/10/2011;4;0;10;0;0;0;616;2302;2918
276;03/10/2011;4;0;10;0;1;1;330;3240;3570
277;04/10/2011;4;0;10;0;2;1;486;3970;4456
278;05/10/2011;4;0;10;0;3;1;559;4267;4826
279;06/10/2011;4;0;10;0;4;1;639;4126;4765
280;07/10/2011;4;0;10;0;5;1;949;4036;4985
281;08/10/2011;4;0;10;0;6;0;2235;3174;5409
282;09/10/2011;4;0;10;0;0;0;2397;3114;5511
283;10/10/2011;4;0;10;1;1;0;1514;3603;5117
284;11/10/2011;4;0;10;0;2;1;667;3896;4563
285;12/10/2011;4;0;10;0;3;1;217;2199;2416
286;13/10/2011;4;0;10;0;4;1;290;2623;2913
287;14/10/2011;4;0;10;0;5;1;529;3115;3644
288;15/10/2011;4;0;10;0;6;0;1899;3318;5217
289;16/10/2011;4;0;10;0;0;0;1748;3293;5041
290;17/10/2011;4;0;10;0;1;1;713;3857;4570
291;18/10/2011;4;0;10;0;2;1;637;4111;4748
292;19/10/2011;4;0;10;0;3;1;254;2170;2424
293;20/10/2011;4;0;10;0;4;1;471;3724;4195
294;21/10/2011;4;0;10;0;5;1;676;3628;4304
295;22/10/2011;4;0;10;0;6;0;1499;2809;4308
296;23/10/2011;4;0;10;0;0;0;1619;2762;4381
297;24/10/2011;4;0;10;0;1;1;699;3488;4187
298;25/10/2011;4;0;10;0;2;1;695;3992;4687
299;26/10/2011;4;0;10;0;3;1;404;3490;3894
300;27/10/2011;4;0;10;0;4;1;240;2419;2659
301;28/10/2011;4;0;10;0;5;1;456;3291;3747
302;29/10/2011;4;0;10;0;6;0;57;570;627
303;30/10/2011;4;0;10;0;0;0;885;2446;3331
304;31/10/2011;4;0;10;0;1;1;362;3307;3669
305;01/11/2011;4;0;11;0;2;1;410;3658;4068
306;02/11/2011;4;0;11;0;3;1;370;3816;4186
307;03/11/2011;4;0;11;0;4;1;318;3656;3974
308;04/11/2011;4;0;11;0;5;1;470;3576;4046
309;05/11/2011;4;0;11;0;6;0;1156;2770;3926
310;06/11/2011;4;0;11;0;0;0;952;2697;3649
311;07/11/2011;4;0;11;0;1;1;373;3662;4035
312;08/11/2011;4;0;11;0;2;1;376;3829;4205
313;09/11/2011;4;0;11;0;3;1;305;3804;4109
314;10/11/2011;4;0;11;0;4;1;190;2743;2933
315;11/11/2011;4;0;11;1;5;0;440;2928;3368
316;12/11/2011;4;0;11;0;6;0;1275;2792;4067
317;13/11/2011;4;0;11;0;0;0;1004;2713;3717
318;14/11/2011;4;0;11;0;1;1;595;3891;4486
319;15/11/2011;4;0;11;0;2;1;449;3746;4195
320;16/11/2011;4;0;11;0;3;1;145;1672;1817
321;17/11/2011;4;0;11;0;4;1;139;2914;3053
322;18/11/2011;4;0;11;0;5;1;245;3147;3392
323;19/11/2011;4;0;11;0;6;0;943;2720;3663
324;20/11/2011;4;0;11;0;0;0;787;2733;3520
325;21/11/2011;4;0;11;0;1;1;220;2545;2765
326;22/11/2011;4;0;11;0;2;1;69;1538;1607
327;23/11/2011;4;0;11;0;3;1;112;2454;2566
328;24/11/2011;4;0;11;1;4;0;560;935;1495
329;25/11/2011;4;0;11;0;5;1;1095;1697;2792
330;26/11/2011;4;0;11;0;6;0;1249;1819;3068
331;27/11/2011;4;0;11;0;0;0;810;2261;3071
332;28/11/2011;4;0;11;0;1;1;253;3614;3867
333;29/11/2011;4;0;11;0;2;1;96;2818;2914
334;30/11/2011;4;0;11;0;3;1;188;3425;3613
335;01/12/2011;4;0;12;0;4;1;182;3545;3727
336;02/12/2011;4;0;12;0;5;1;268;3672;3940
337;03/12/2011;4;0;12;0;6;0;706;2908;3614
338;04/12/2011;4;0;12;0;0;0;634;2851;3485
339;05/12/2011;4;0;12;0;1;1;233;3578;3811
340;06/12/2011;4;0;12;0;2;1;126;2468;2594
341;07/12/2011;4;0;12;0;3;1;50;655;705
342;08/12/2011;4;0;12;0;4;1;150;3172;3322
343;09/12/2011;4;0;12;0;5;1;261;3359;3620
344;10/12/2011;4;0;12;0;6;0;502;2688;3190
345;11/12/2011;4;0;12;0;0;0;377;2366;2743
346;12/12/2011;4;0;12;0;1;1;143;3167;3310
347;13/12/2011;4;0;12;0;2;1;155;3368;3523
348;14/12/2011;4;0;12;0;3;1;178;3562;3740
349;15/12/2011;4;0;12;0;4;1;181;3528;3709
350;16/12/2011;4;0;12;0;5;1;178;3399;3577
351;17/12/2011;4;0;12;0;6;0;275;2464;2739
352;18/12/2011;4;0;12;0;0;0;220;2211;2431
353;19/12/2011;4;0;12;0;1;1;260;3143;3403
354;20/12/2011;4;0;12;0;2;1;216;3534;3750
355;21/12/2011;1;0;12;0;3;1;107;2553;2660
356;22/12/2011;1;0;12;0;4;1;227;2841;3068
357;23/12/2011;1;0;12;0;5;1;163;2046;2209
358;24/12/2011;1;0;12;0;6;0;155;856;1011
359;25/12/2011;1;0;12;0;0;0;303;451;754
360;26/12/2011;1;0;12;1;1;0;430;887;1317
361;27/12/2011;1;0;12;0;2;1;103;1059;1162
362;28/12/2011;1;0;12;0;3;1;255;2047;2302
363;29/12/2011;1;0;12;0;4;1;254;2169;2423
364;30/12/2011;1;0;12;0;5;1;491;2508;2999
365;31/12/2011;1;0;12;0;6;0;665;1820;2485
